,affected stakeholders,sea stars,shallow water,species of recreational,marine debris,oil and gas,protected areas,renewable energy,fishing communities,seagrass communities,marine science,fishery,recreational opportunities,marine biodiversity,water recreation,biodiversity metrics,ecosystem services,sanctuary waters,climate,habitats,ecosystem-based management,kelp forests,recreational fishing,derelict fishing gear
affected stakeholders,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sea stars,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
shallow water,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0
species of recreational,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
marine debris,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,-1,1
oil and gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
protected areas,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,-1,0
renewable energy,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
fishing communities,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0
seagrass communities,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
marine science,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recreational opportunities,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
marine biodiversity,0,1,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,-1,0
water recreation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biodiversity metrics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ecosystem services,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
sanctuary waters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
climate,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0
habitats,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
ecosystem-based management,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
kelp forests,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0
recreational fishing,-1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-1,0,0,0,0,0
derelict fishing gear,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
